,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
129,0,,ACH,2020-10-01,,C,19-TK-VILL
130,0,,ACH,2020-07-01,2734.97,C,19-TK-VILL
131,0,,ACH,2020-04-01,0.0,C,19-TK-VILL
132,0,,ACH,2020-04-01,1356.104422685342,C,19-TK-VILL
133,0,,ACH,2020-04-01,4214.686999710418,CC,19-TK-VILL
134,0,,ACH,2020-02-01,2936.2474910288356,C,19-TK-VILL
135,0,,ACH,2020-10-01,,C,19-TK-VILL
136,0,,ACH,2020-11-01,,C,19-TK-VILL
137,0,,ACH,2020-03-01,2017.4170264096526,C,19-TK-VILL
138,0,,ACH,2020-03-01,6270.004855058362,CC,19-TK-VILL
139,0,,ACH,2020-03-01,0.0,C,19-TK-VILL
140,0,,ACH,2020-11-01,,CC,19-TK-VILL
141,0,,ACH,2020-11-01,,C,19-TK-VILL
142,0,,ACH,2020-10-01,,CC,19-TK-VILL
143,0,,ACH,2020-09-01,2812.58,C,19-TK-VILL
144,0,,ACH,2020-12-01,,C,19-TK-VILL
145,0,,ACH,2020-02-01,9125.67197728477,CC,19-TK-VILL
146,0,,ACH,2020-08-01,2718.71,C,19-TK-VILL
147,0,,ACH,2020-12-01,,CC,19-TK-VILL
148,0,,ACH,2020-01-01,8763.339273370962,CC,19-TK-VILL
149,0,,ACH,2020-08-01,8505.26,CC,19-TK-VILL
150,0,,ACH,2020-02-01,2936.2474910288356,C,19-TK-VILL
151,0,,ACH,2020-12-01,,C,19-TK-VILL
152,0,,ACH,2020-09-01,2814.36,C,19-TK-VILL
153,0,,ACH,2020-01-01,2819.664460712512,C,19-TK-VILL
154,0,,ACH,2020-01-01,2819.664460712512,C,19-TK-VILL
155,0,,ACH,2020-09-01,8520.14,CC,19-TK-VILL
156,0,,ACH,2020-07-01,,C,19-TK-VILL
157,0,,ACH,2020-07-01,8520.14,CC,19-TK-VILL
158,0,,ACH,2020-08-01,2717.4,C,19-TK-VILL
159,0,,ACH,2020-06-01,0.0,CDTX,19-TK-VILL
